,Speciality,Code,Title,Anes,Asst,Fee
0,appendix-f/mcss-ontario-works-program,G154,"Cortical evoked audiometry, multiple frequency (minimum of 4 frequencies in each ear) as required by WSIB - professional component",,,
1,appendix-f/mcss-ontario-works-program,G153,"Cortical evoked audiometry, multiple frequency (minimum of 4 frequencies in each ear) as required by WSIB - technical component",,,$10.30
2,appendix-f/mcss-ontario-works-program,G571,Professional component,,,$96.20
3,appendix-f/mcss-ontario-works-program,G570,Technical component,,,$118.95
4,appendix-f/mcss-ontario-works-program,G593,COVID-19 vaccine,,,$13.00
5,appendix-f/mscc-ontario-disability-support-program,K052,Activities of Daily Living Index (completed separately) for initial ODSP application,,,
6,appendix-f/mscc-ontario-disability-support-program,K060,Activities of Daily Living Index of Part B (completed separately) for Medical Review process,,,$26.40
7,appendix-f/mscc-ontario-disability-support-program,K056,Application for Pregnancy/Breast-feeding Nutritional Allowance,,,$21.10
8,appendix-f/mscc-ontario-disability-support-program,K055,Application for Special Diet Allowance,,,$21.10
9,appendix-f/mscc-ontario-disability-support-program,K051,Health Status Report (completed separately) for initial ODSP application,,,$84.50
10,appendix-f/mscc-ontario-disability-support-program,K050,Health Status Report and Activities of Daily Living Index (completion of amalgamated forms for initial ODSP application),,,$105.65
11,appendix-f/mscc-ontario-disability-support-program,K059,Health Status Report of Part B (completed separately) for Medical Review process,,,$105.65
12,appendix-f/mscc-ontario-disability-support-program,K054,Mandatory Special Necessities Benefit Request Form,,,$26.40
13,appendix-f/mscc-ontario-disability-support-program,K057,Medical Form Part A for Medical Review process,,,$37.00
14,appendix-f/mscc-ontario-disability-support-program,K058,Medical Form Part B including both Health Status Report and Activities of Daily Living Index for Medical Review process,,,$132.00
15,appendix-f/mscc-ontario-disability-support-program,G571,Professional component,,,$96.20
16,appendix-f/mscc-ontario-disability-support-program,G570,Technical component,,,$118.95
17,appendix-f/mscc-ontario-disability-support-program,G593,COVID-19 vaccine,,,$13.00
18,appendix-f/mscc-ontario-works-program,K053,A Limitation to Participation Form,,,
19,appendix-f/mscc-ontario-works-program,K061,Taking of blood samples in a hospital setting at the request of a police officer,,,$31.65
20,appendix-f/mscc-ontario-works-program,G571,Professional component,,,$96.20
21,appendix-f/mscc-ontario-works-program,G570,Technical component,,,$118.95
22,appendix-f/mscc-ontario-works-program,G593,COVID-19 vaccine,,,$13.00
23,appendix-f/periodic-oculo-visual-assessment,K066,"Eye examination rendered to patients between the ages 20 and 64 who are recipients of income assistance or benefits under the Ontario Works Act, 1997",,,
24,appendix-f/periodic-oculo-visual-assessment,K065,"Eye examination rendered to patients between the ages 20 and 64 who are recipients of income support under the Ontario Disability Support Program Act, 1997",,,$51.65
25,appendix-f/periodic-oculo-visual-assessment,G571,Professional component,,,$96.20
26,appendix-f/periodic-oculo-visual-assessment,G570,Technical component,,,$118.95
27,appendix-f/periodic-oculo-visual-assessment,G593,COVID-19 vaccine,,,$13.00
28,cardiovascular-surgical-procedures/arteries,G571,Professional component,0,,0
29,cardiovascular-surgical-procedures/arteries,G570,Technical component,0,,$118.95
30,cardiovascular-surgical-procedures/arteries,G593,COVID-19 vaccine,0,,$13.00
